Register: r=32, n=11, pickup_points=[0, 2, 6, 10], power=17
Register: r=32, n=11, pickup_points=[0, 3, 6, 10], power=17
Register: r=32, n=11, pickup_points=[0, 3, 7, 10], power=17
Register: r=32, n=11, pickup_points=[0, 4, 6, 10], power=17
Register: r=32, n=11, pickup_points=[0, 4, 7, 10], power=17
Register: r=32, n=11, pickup_points=[0, 4, 8, 10], power=17
Register: r=32, n=11, pickup_points=[0, 1, 5, 10], power=18
Register: r=32, n=11, pickup_points=[0, 1, 6, 10], power=18
Register: r=32, n=11, pickup_points=[0, 2, 5, 10], power=18
Register: r=32, n=11, pickup_points=[0, 2, 7, 10], power=18
Register: r=32, n=11, pickup_points=[0, 3, 5, 10], power=18
Register: r=32, n=11, pickup_points=[0, 3, 8, 10], power=18
Register: r=32, n=11, pickup_points=[0, 4, 5, 10], power=18
Register: r=32, n=11, pickup_points=[0, 4, 9, 10], power=18
Register: r=32, n=11, pickup_points=[0, 5, 6, 10], power=18
Register: r=32, n=11, pickup_points=[0, 5, 7, 10], power=18
Register: r=32, n=11, pickup_points=[0, 5, 8, 10], power=18
Register: r=32, n=11, pickup_points=[0, 5, 9, 10], power=18
Register: r=32, n=11, pickup_points=[0, 1, 4, 10], power=19
Register: r=32, n=11, pickup_points=[0, 1, 7, 10], power=19
Register: r=32, n=11, pickup_points=[0, 2, 4, 10], power=19
Register: r=32, n=11, pickup_points=[0, 2, 8, 10], power=19
Register: r=32, n=11, pickup_points=[0, 3, 4, 10], power=19
Register: r=32, n=11, pickup_points=[0, 3, 9, 10], power=19
Register: r=32, n=11, pickup_points=[0, 6, 7, 10], power=19
Register: r=32, n=11, pickup_points=[0, 6, 8, 10], power=19
Register: r=32, n=11, pickup_points=[0, 6, 9, 10], power=19
Register: r=32, n=11, pickup_points=[0, 1, 3, 10], power=20
Register: r=32, n=11, pickup_points=[0, 1, 8, 10], power=20
Register: r=32, n=11, pickup_points=[0, 2, 3, 10], power=20
Register: r=32, n=11, pickup_points=[0, 2, 9, 10], power=20
Register: r=32, n=11, pickup_points=[0, 4, 8, 9], power=20
Register: r=32, n=11, pickup_points=[0, 7, 8, 10], power=20
Register: r=32, n=11, pickup_points=[0, 7, 9, 10], power=20
Register: r=32, n=11, pickup_points=[0, 1, 2, 10], power=21
Register: r=32, n=11, pickup_points=[0, 1, 6, 9], power=21
Register: r=32, n=11, pickup_points=[0, 1, 9, 10], power=21
Register: r=32, n=11, pickup_points=[0, 3, 6, 9], power=21
Register: r=32, n=11, pickup_points=[0, 3, 8, 9], power=21
Register: r=32, n=11, pickup_points=[0, 5, 8, 9], power=21
Register: r=32, n=11, pickup_points=[0, 8, 9, 10], power=21
Register: r=32, n=11, pickup_points=[0, 2, 6, 9], power=22
Register: r=32, n=11, pickup_points=[0, 2, 8, 9], power=22
Register: r=32, n=11, pickup_points=[0, 4, 6, 9], power=22
Register: r=32, n=11, pickup_points=[0, 6, 8, 9], power=22
Register: r=32, n=11, pickup_points=[0, 1, 4, 9], power=23
Register: r=32, n=11, pickup_points=[0, 1, 8, 9], power=23
Register: r=32, n=11, pickup_points=[0, 3, 4, 9], power=23
Register: r=32, n=11, pickup_points=[0, 3, 7, 8], power=23
Register: r=32, n=11, pickup_points=[0, 4, 7, 8], power=23
Register: r=32, n=11, pickup_points=[0, 5, 6, 9], power=23
Register: r=32, n=11, pickup_points=[0, 7, 8, 9], power=23
Register: r=32, n=11, pickup_points=[0, 1, 2, 9], power=24
Register: r=32, n=11, pickup_points=[0, 1, 6, 8], power=24
Register: r=32, n=11, pickup_points=[0, 2, 3, 9], power=24
Register: r=32, n=11, pickup_points=[0, 2, 7, 8], power=24
Register: r=32, n=11, pickup_points=[0, 3, 6, 8], power=24
Register: r=32, n=11, pickup_points=[0, 4, 5, 9], power=24
Register: r=32, n=11, pickup_points=[0, 4, 7, 9], power=24
Register: r=32, n=11, pickup_points=[0, 5, 7, 8], power=24
Register: r=32, n=11, pickup_points=[0, 6, 7, 9], power=24
Register: r=32, n=11, pickup_points=[0, 1, 7, 8], power=25
Register: r=32, n=11, pickup_points=[0, 2, 4, 9], power=25
Register: r=32, n=11, pickup_points=[0, 2, 5, 9], power=25
Register: r=32, n=11, pickup_points=[0, 2, 6, 8], power=25
Register: r=32, n=11, pickup_points=[0, 4, 6, 8], power=25
Register: r=32, n=11, pickup_points=[0, 6, 7, 8], power=25
